name,id,artist
The Bodyguard - Original Soundtrack Album,spotify:album:7JVJlkNNobS0GSoy4tCS96,Whitney Houston 
The Phantom of the Opera (Original Motion Picture Soundtrack),spotify:album:662G3wcEgxz3BSRpUX4NuT,Andrew Lloyd-Webber 
The Matrix Reloaded: The Album,spotify:album:4iLPd0Abb4S96sB2QEz2bl,The Matrix Reloaded Soundtrack 
Music From The Motion Picture Lock, Stock And Two Smoking Barrels,spotify:album:2fdAkcqAzhesitKe2q91RL,Lock, Stock And Two Smoking Barrels - Original Motion Picture Soundtrack 
Sweeney Todd, The Demon Barber of Fleet Street, The Motion Picture Soundtrack,spotify:album:0CgTKS2HmWc3JeI9Fit2vX,Sweeney Todd, The Demon Barber of Fleet Street, The Motion Picture Soundtrack 
Coyote Ugly,spotify:album:1k5JXyTUfSVqzqjw4N7ANX,Soundtrack 
Dirty Dancing,spotify:album:0mtLFaQ3hL371jsNraRo9g,Dirty Dancing (Motion Picture Soundtrack) 
The Music Of Nashville: Original Soundtrack,spotify:album:0b2qOZ50IkffY6PDfO0Pip,Various Artists 
A Bronx Tale - Music From The Motion Picture,spotify:album:16NqPu4ZT94LJyEV6ukiyZ,Original Motion Picture Soundtrack 
Silver Linings Playbook,spotify:album:4uSUoccL3KiZP3KGz3gMHl,Original Motion Picture Soundtrack 
Evita: The Complete Motion Picture Music Soundtrack,spotify:album:7FEyjOwZ7Hjvtb92GjM286,Evita Soundtrack 
Pirates Of The Caribbean Original Soundtrack,spotify:album:46co3YFtDUWwq1DiazleHP,Various Artists 
Mulan Original Soundtrack,spotify:album:4z7cSxC9GqPVh9Nz579wel,Various Artists 
Music From The WB Television Series One Tree Hill Volume 2: Friends With Benefit,spotify:album:3bG4v31qF86HKLCe84qBE9,One Tree Hill Soundtrack 
We Bought A Zoo (Motion Picture Soundtrack),spotify:album:0qlp58WV5DrL1wpAzqdlzJ,We Bought A Zoo - Music by Jónsi 
